year,articlestot
1845,271
1846,2072
1847,7008
1848,11272
1849,14826
1850,17528
1851,19818
1852,22408
1853,24408
1854,26556
1855,28566
1856,30699
1857,32490
1858,33991
1859,35603
1860,37404
1861,38383
1862,39749
1863,40779
1864,41922
1865,43005
1866,44054
1867,45287
1868,46480
1869,47949
1870,50384
1871,52917
1872,55405
1873,57965
1874,60302
1875,62689
1876,67522
1877,72169
1878,76739
1879,81044
1880,85687
1881,89760
1882,93768
1883,97742
1884,101699
1885,105619
1886,110348
1887,114965
1888,119253
1889,123278
1890,127227
1891,131116
1892,134853
1893,138800
1894,142550
1895,146196
1896,149982
1897,153839
1898,157623
1899,161595
1900,165368
1901,169181
1902,173374
1903,177696
1904,181748
1905,185394
1906,188780
1907,192127
1908,195681
1909,199543
1910,203088
1911,206691
1912,209589
1913,212427
1914,215193
1915,218082
1916,220953
1917,223545
1918,226190
1919,228667
1920,232054
1921,235152
1922,237873
1923,240503
1924,242993
1925,245385
1926,247805
1927,250291
1928,252642
1929,255146
1930,257634
1931,260080
1932,263485
1933,266878
1934,270375
1935,274030
1936,277580
1937,281167
1938,284978
1939,288587
1940,291715
1941,294305
1942,296874
1943,299216
1944,301747
1945,304265
1946,307490
1947,310556
1948,314112
1949,317758
1950,321293
1951,324800
1952,328306
1953,331960
1954,335830
1955,339474
1956,343625
1957,347865
1958,353000
1959,358335
1960,364088
1961,370175
1962,376286
1963,382589
1964,388952
1965,395134
1966,401462
1967,407672
1968,413595
1969,419479
1970,425830
1971,432880
1972,438932
1973,445162
1974,451582
1975,457353
1976,462619
1977,469007
1978,475741
1979,481245
1980,487007
1981,494567
1982,499947
1983,505831
1984,513950
1985,522517
1986,529183
1987,537410
1988,545106
1989,552375
1990,559778
1991,566863
1992,574413
1993,582508
1994,590804
1995,599158
1996,610623
1997,624134
1998,639738
1999,658770
2000,676569
2001,694305
2002,712403
2003,733504
2004,755928
2005,781518
2006,807699
2007,834033
2008,862047
2009,889978
2010,918787
2011,947645
2012,977624
2013,1011289
2014,1046567
