"id","label","counttotal","treedepth"
"3d-reconstruction","3-D reconstruction",9,"3"
"abiotic","Abiotic",10,"3"
"acetylation","Acetylation",16,"4 3"
"acetyltransferases","Acetyltransferases",2,"4 3"
"achalasia","Achalasia",2,"4"
"acid-base-fluid-electrolyte-disorders","Acid, base, fluid, electrolyte disorders",11,"3"
"acne-vulgaris","Acne vulgaris",0,"3"
"acoustics","Acoustics",9,"3"
"actin","Actin",35,"3"
"action-potential-generation","Action potential generation",0,"3"
"actuators","Actuators",19,"3"
"acute-coronary-syndromes","Acute coronary syndromes",96,"4 3"
"acute-inflammation","Acute inflammation",37,"3"
"acute-inflammatory-arthritis","Acute inflammatory arthritis",18,"3"
"acute-kidney-injury","Acute kidney injury",54,"3"
"acute-lymphocytic-leukaemia","Acute lymphocytic leukaemia",39,"4 5"
"acute-myeloid-leukaemia","Acute myeloid leukaemia",66,"4 5"
"acute-pancreatitis","Acute pancreatitis",3,"5"
"adaptive-designs","Adaptive clinical trial",1,"4 3"
"adaptive-immunity","Adaptive immunity",279,"2 3"
"adaptive-optics","Adaptive optics",15,"3"
"adaptive-radiation","Adaptive radiation",3,"3"
"addiction","Addiction",82,"3"
"adenovirus","Adenovirus",4,"3"
"adhd","ADHD",2,"4 3"
"adherens-junctions","Adherens junctions",15,"3"
"adipocytes","Adipocytes",5,"3"
"adjuvants","Adjuvants",11,"4 3"
"adrenal-cortex-hormones","Adrenal cortex hormones",1,"4 3"
"adrenal-gland-diseases","Adrenal gland diseases",14,"3"
"adrenal-glands","Adrenal glands",1,"3"
"adrenal-tumours","Adrenal tumours",15,"4 3"
"adult-neurogenesis","Adult neurogenesis",23,"4 3"
"adult-stem-cells","Adult stem cells",246,"2 3"
"adverse-effects","Adverse effects",37,"3"
"aerospace-engineering","Aerospace engineering",7,"2 3"
"aesthetic-dentistry","Aesthetic dentistry",0,"4"
"ageing","Ageing",129,"2 3"
"agency","Agency",5,"3"
"aggression","Aggression",0,"3"
"agricultural-genetics","Agricultural genetics",40,"2 3"
"agriculture","Agriculture",118,"1"
"agri-ecology","Agroecology",32,"2"
"air-microbiology","Air microbiology",2,"4 3"
"alcohol-misuse-in-dental-patients","Alcohol misuse in dental patients",0,"4"
"alcoholic-liver-disease","Alcoholic liver disease",6,"4"
"aldosterone","Aldosterone",1,"4 3"
"allergy","Allergy",33,"4"
"allograft","Allotransplantation",10,"3"
"alphaviruses","Alphaviruses",1,"3"
"alport-syndrome","Alport syndrome",2,"4"
"alternative-splicing","Alternative splicing",19,"3"
"alveolar-macrophages","Alveolar macrophages",9,"4 5"
"alzheimers-disease","Alzheimer's disease",159,"4 3"
"amalgam","Amalgam",0,"4"
