"id","label","counttotal","treedepth"
"3d-reconstruction","3-D reconstruction",12,"3"
"abiotic","Abiotic",12,"3"
"acetylation","Acetylation",18,"4 3"
"acetyltransferases","Acetyltransferases",2,"4 3"
"achalasia","Achalasia",3,"4"
"acid-base-fluid-electrolyte-disorders","Acid, base, fluid, electrolyte disorders",13,"3"
"acne-vulgaris","Acne vulgaris",0,"3"
"acoustics","Acoustics",16,"3"
"actin","Actin",48,"3"
"action-potential-generation","Action potential generation",0,"3"
"actuators","Actuators",23,"3"
"acute-coronary-syndromes","Acute coronary syndromes",112,"4 3"
"acute-inflammation","Acute inflammation",41,"3"
"acute-inflammatory-arthritis","Acute inflammatory arthritis",19,"3"
"acute-kidney-injury","Acute kidney injury",64,"3"
"acute-lymphocytic-leukaemia","Acute lymphocytic leukaemia",47,"4 5"
"acute-myeloid-leukaemia","Acute myeloid leukaemia",89,"4 5"
"acute-pancreatitis","Acute pancreatitis",3,"5"
"adaptive-designs","Adaptive clinical trial",3,"4 3"
"adaptive-immunity","Adaptive immunity",308,"2 3"
"adaptive-optics","Adaptive optics",15,"3"
"adaptive-radiation","Adaptive radiation",3,"3"
"addiction","Addiction",101,"3"
"adenovirus","Adenovirus",5,"3"
"adhd","ADHD",7,"4 3"
"adherens-junctions","Adherens junctions",16,"3"
"adipocytes","Adipocytes",6,"3"
"adjuvants","Adjuvants",15,"4 3"
"adrenal-cortex-hormones","Adrenal cortex hormones",1,"4 3"
"adrenal-gland-diseases","Adrenal gland diseases",14,"3"
"adrenal-glands","Adrenal glands",1,"3"
"adrenal-tumours","Adrenal tumours",16,"4 3"
"adult-neurogenesis","Adult neurogenesis",27,"4 3"
"adult-stem-cells","Adult stem cells",286,"2 3"
"adverse-effects","Adverse effects",46,"3"
"aerospace-engineering","Aerospace engineering",7,"2 3"
"aesthetic-dentistry","Aesthetic dentistry",0,"4"
"ageing","Ageing",146,"2 3"
"agency","Agency",5,"3"
"aggression","Aggression",0,"3"
"agricultural-genetics","Agricultural genetics",51,"2 3"
"agriculture","Agriculture",151,"1"
"agri-ecology","Agroecology",42,"2"
"air-microbiology","Air microbiology",4,"4 3"
"alcohol-misuse-in-dental-patients","Alcohol misuse in dental patients",0,"4"
"alcoholic-liver-disease","Alcoholic liver disease",7,"4"
"aldosterone","Aldosterone",1,"4 3"
"allergy","Allergy",36,"4"
"allograft","Allotransplantation",13,"3"
"alphaviruses","Alphaviruses",2,"3"
"alport-syndrome","Alport syndrome",2,"4"
"alternative-splicing","Alternative splicing",20,"3"
"alveolar-macrophages","Alveolar macrophages",9,"4 5"
"alzheimers-disease","Alzheimer's disease",192,"4 3"
"amalgam","Amalgam",0,"4"
"amelogenesis-imperfecta","Amelogenesis imperfecta",0,"4"
"amino-sugars","Amino sugars",3,"4 3"
"amoeboid-migration","Amoeboid migration",3,"3"
"amygdala","Amygdala",34,"3"
"amyotrophic-lateral-sclerosis","Amyotrophic lateral sclerosis",29,"4 5 3"
"anaemia","Anaemia",22,"4 5 3"
"anal-cancer","Anal cancer",0,"4 3"
"anal-diseases","Anal diseases",0,"3"
"analytical-biochemistry","Analytical biochemistry",66,"2"
"analytical-chemistry","Analytical chemistry",471,"2"
"anatomy","Anatomy",2076,"1"
"aneuploidy","Aneuploidy",6,"4"
"aneurism","Aneurysm",3,"4 5 3"
"angiogenesis","Angiogenesis",45,"2 3"
"animal-behaviour","Animal behaviour",456,"2"
"animal-biotechnology","Animal biotechnology",139,"2"
"animal-breeding","Animal breeding",15,"2"
"animal-disease-models","Animal disease models",42,"3"
"animal-migration","Animal migration",17,"2"
"animal-physiology","Animal physiology",44,"2"
"ankylosing-spondylitis","Ankylosing spondylitis",3,"4"
"antagomir-and-rna-sponge","Antagomir and RNA sponge",4,"4 3"
"antenna-complex","Antenna complex",3,"3"
"anthropology","Anthropology",274,"2 1"
"antibacterial-drug-resistance","Antibacterial drug resistance",13,"4"
"antibiotic-prophylaxis-in-dentistry","Antibiotic prophylaxis in dentistry",0,"4"
"antibiotics","Antibiotics",86,"4 3"
"antibiotics-in-dentistry","Antibiotics in dentistry",0,"4"
"antibodies","Antibodies",36,"4 5"
"antibody-fragment-therapy","Antibody fragment therapy",3,"3"
"antibody-generation","Antibody generation",16,"3"
"antibody-isolation-and-purification","Antibody isolation and purification",6,"3"
"antibody-therapy","Antibody therapy",38,"3"
"antifungal-agents","Antifungal agents",5,"4 3"
"antigen-presentation","Antigen presentation",33,"4 5"
"antigen-processing-and-presentation","Antigen processing and presentation",69,"2"
"antigen-presenting-cells","Antigen-presenting cells",20,"3"
"antimicrobial-resistance","Antimicrobial resistance",50,"4 3"
"antimicrobial-responses","Antimicrobial responses",46,"2"
"antimicrobial-therapy","Antimicrobial therapy",9,"4"
"antimicrobials","Antimicrobials",201,"2 3"
"antiparasitic-agents","Antiparasitic agents",7,"4 3"
"antiphospholipid-syndrome","Antiphospholipid syndrome",4,"4"
"antirrhinum","Antirrhinum",0,"4"
"antisense-elements","Antisense elements",0,"3"
"antisense-oligonucleotide-therapy","Antisense oligonucleotide therapy",6,"4 3"
"antiviral-agents","Antiviral agents",7,"4 3"
"antivirals","Antivirals",15,"3"
"anus","Anus",0,"4"
"anxiety","Anxiety",24,"3"
"aortic-diseases","Aortic diseases",13,"4 5"
"apex-locators","Apex locators",0,"5"
"aphthous-stomatitis","Aphthous stomatitis",0,"3"
"apicectomy","Apicectomy",0,"5"
"apicobasal-polarity","Apicobasal polarity",6,"3"
"apoptosis","Apoptosis",105,"3"
"applications-of-afm","Applications of AFM",15,"3"
"applied-immunology","Applied immunology",206,"2"
"applied-mathematics","Applied mathematics",140,"2"
"applied-microbiology","Applied microbiology",67,"2"
"applied-optics","Applied optics",385,"2"
"applied-physics","Applied physics",752,"2"
"arabidopsis-thaliana","Arabidopsis thaliana",9,"4"
"arbuscular-mycorrhiza","Arbuscular mycorrhiza",3,"3"
"archaea","Archaea",114,"2"
"archaea-biology","Archaeal biology",9,"3"
"archaea-evolution","Archaeal evolution",5,"3"
"archaeal-genes","Archaeal genes",1,"3"
"archaea-genetics","Archaeal genetics",2,"3"
"archaea-genomics","Archaeal genomics",4,"3"
"archaea-physiology","Archaeal physiology",6,"3"
"archaeology","Archaeology",173,"2 3"
"architecture","Architecture",13,"3"
"arenaviruses","Arenaviruses",0,"3"
"arrhythmias","Arrhythmias",90,"4 3"
"arterial-stiffening","Arterial stiffening",6,"4 5"
"arts","Arts",159,"3"
"ascites","Ascites",1,"5"
"aspergillus-nidulans","Aspergillus nidulans",0,"4"
"assay-systems","Assay systems",52,"2"
"asteroids-comets-and-kuiper-belt","Asteroids, comets and Kuiper belt",44,"2 3"
"asthma","Asthma",34,"4 3"
"astrobiology","Astrobiology",1,"2 3"
"astrochemistry","Astrochemistry",2,"3"
"astrocyte","Astrocyte",39,"3"
"astronomical-instrumentation","Astronomical instrumentation",54,"3"
"astronomical-optics","Astronomical optics",3,"3"
"astronomy-and-astrophysics","Astronomy and astrophysics",702,"2"
"astronomy-and-planetary-science","Astronomy and planetary science",1916,"1"
"astrophysical-plasmas","Astrophysical plasmas",19,"3"
"asymmetric-catalysis","Asymmetric catalysis",18,"4 5 3"
"asymmetric-synthesis","Asymmetric synthesis",13,"3"
"atherosclerosis","Atherosclerosis",65,"4 5 3"
"atmospheric-chemistry","Atmospheric chemistry",96,"2 3"
"atmospheric-dynamics","Atmospheric dynamics",144,"2 3"
"atmospheric-optics","Atmospheric optics",7,"3"
"atmospheric-science","Atmospheric science",415,"2"
"atom-optics","Atom optics",27,"3"
"atomic-and-molecular-collision-processes","Atomic and molecular collision processes",13,"3"
"atomic-and-molecular-interactions-with-photons","Atomic and molecular interactions with photons",46,"3"
"atomic-and-molecular-physics","Atomic and molecular physics",193,"2"
"atomic-force-microscopy","Atomic force microscopy",41,"4 2 3"
"atomistic-models","Atomistic models",48,"3"
"atopic-dermatitis","Atopic dermatitis",3,"4"
"atrial-fibrillation","Atrial fibrillation",49,"4 5"
"attention","Attention",47,"3"
"attosecond-science","Attosecond science",16,"3"
"attribution","Attribution",62,"3"
"auditory-system","Auditory system",108,"2"
"aurora","Aurora",3,"3"
"authorship","Authorship",67,"3"
"autism-spectrum-disorders","Autism spectrum disorders",97,"4 3"
"autocrine-motility-factor","Autocrine motility factor",0,"4 3"
"autoimmune-diseases","Autoimmune diseases",400,"3"
"autoimmune-hepatitis","Autoimmune hepatitis",0,"4 5"
"autoimmune-pancreatitis","Autoimmune pancreatitis",0,"5"
"autoimmunity","Autoimmunity",148,"2"
"autoinflammatory-syndrome","Autoinflammatory syndrome",5,"4"
"autologous-transplantation","Autologous transplantation",1,"5"
"automation","Automation",2,"3"
"autonomic-nervous-system","Autonomic nervous system",23,"4 3"
"autophagosomes","Autophagosomes",6,"3"
"autophagy","Autophagy",179,"2 3"
"autograft","Autotransplantation",1,"3"
"auxin","Auxin",9,"3"
"axon-and-dendritic-guidance","Axon and dendritic guidance",14,"3"
"b-cells","B cells",117,"5 3"
"b-1-cells","B-1 cells",1,"4 6"
"b-2-cells","B-2 cells",2,"4 6"
"b-cell-lymphoma","B-cell lymphoma",46,"5 6"
"b-cell-receptor","B-cell receptor",5,"4 6"
"bacillus-subtilis","Bacillus subtilis",1,"4"
"bacteria","Bacteria",841,"2"
"bacterial-adhesion","Bacterial adhesion",3,"4"
"bacterial-development","Bacterial development",7,"3"
"bacterial-evolution","Bacterial evolution",32,"3"
"bacterial-gene","Bacterial genes",12,"3"
"bacterial-genetics","Bacterial genetics",63,"3"
"bacterial-genomics","Bacterial genomics",41,"3"
"bacterial-host-response","Bacterial host response",31,"3"
"bacterial-immune-evasion","Bacterial immune evasion",16,"3"
"bacterial-infection","Bacterial infection",91,"3"
"bacterial-pathogenesis","Bacterial pathogenesis",68,"3"
"bacterial-physiology","Bacterial physiology",96,"3"
"bacterial-secretion","Bacterial secretion",25,"4 3"
"bacterial-structural-biology","Bacterial structural biology",20,"3"
"bacterial-synthetic-biology","Bacterial synthetic biology",14,"3"
"bacterial-systems-biology","Bacterial systems biology",9,"3"
"bacterial-techniques-and-applications","Bacterial techniques and applications",21,"3"
"bacterial-toxins","Bacterial toxins",15,"3"
"bacterial-transcription","Bacterial transcription",14,"3"
"bacterial-transformation","Bacterial transformation",5,"4"
"bacterial-translocation","Bacterial translocation",1,"4"
"bacteriology","Bacteriology",50,"2"
"bacteriophages","Bacteriophages",23,"2"
"bariatric-surgery","Bariatric surgery",13,"4"
"barrel-cortex","Barrel cortex",16,"3"
"barretts-oesophagus","Barrett oesophagus",15,"4"
"basal-cell-carcinoma","Basal cell carcinoma",1,"4 3"
"basal-ganglia","Basal ganglia",18,"3"
"base-excision-repair","Base excision repair",3,"3"
"basolateral-polarity","Basolateral polarity",2,"3"
"basophils","Basophils",2,"4"
"batesian-mimicry","Batesian mimicry",2,"3"
"batteries","Batteries",204,"4 3"
"bayesian-inference","Bayesian inference",5,"2"
"behavioural-ecology","Behavioural ecology",73,"2"
"behavioural-genetics","Behavioural genetics",43,"2"
"behavioural-methods","Behavioural methods",39,"2"
"benign-prostatic-hyperplasia","Benign prostatic hyperplasia",1,"4"
"bile-duct-cancer","Bile duct cancer",6,"4 5"
"bile-duct-disease","Bile duct disease",17,"4"
"bile-ducts","Bile ducts",3,"4"
"biliary-tract","Biliary tract",8,"3"
"biliary-tract-cancer","Biliary tract cancer",13,"4 3"
"biliary-tract-disease","Biliary tract disease",20,"3"
"bioanalytical-chemistry","Bioanalytical chemistry",46,"3"
"biobricks","Biobricks",1,"2"
"biocatalysis","Biocatalysis",56,"4 5 2 3"
"biochemical-assays","Biochemical assays",29,"3"
"biochemical-networks","Biochemical networks",24,"2"
"biochemical-reaction-networks","Biochemical reaction networks",20,"2"
"biochemistry","Biochemistry",4108,"2 1"
"bioconjugate-chemistry","Bioconjugate chemistry",2,"3"
"biodiversity","Biodiversity",154,"2"
"bioenergetics","Bioenergetics",27,"2"
"biofilms","Biofilms",45,"2"
"biofuels","Biofuels",15,"2 3"
"biogeochemistry","Biogeochemistry",296,"2 3"
"biogeography","Biogeography",31,"2"
"bioinformatics","Bioinformatics",133,"2"
"bioinorganic-chemistry","Bioinorganic chemistry",80,"2 3"
"bioinspired-materials","Bioinspired materials",69,"4 3"
"biolimnology","Biolimnology",8,"3"
"biolistics","Biolistics",0,"3"
"biological-anthropology","Biological anthropology",22,"2 3"
"biological-fluorescence","Biological fluorescence",24,"2"
"biological-metamorphosis","Biological metamorphosis",4,"3"
"biological-models","Biological models",382,"2"
"biological-physics","Biological physics",143,"2"
"biological-sciences","Biological sciences",32709,"0"
"biological-techniques","Biological techniques",6305,"1"
"biological-therapy","Biological therapy",79,"3"
"biologics","Biologics",338,"2"
"bioluminescence-imaging","Bioluminescence imaging",7,"3"
"biomarker-research","Biomarker research",146,"2"
"biomarkers","Biomarkers",652,"2 1"
"biomaterials","Biomaterials",470,"2 3"
"biomaterials-cells","Biomaterials – cells",57,"4 3"
"biomaterials-proteins","Biomaterials – proteins",28,"4 3"
"biomaterials-vaccines","Biomaterials – vaccines",9,"4 3"
"biomechanics","Biomechanics",27,"2"
"biomedical-engineering","Biomedical engineering",182,"2 3"
"biomedical-materials","Biomedical materials",53,"4 3"
"biomimetic-synthesis","Biomimetic synthesis",5,"4 3"
"biomimetics","Biomimetics",28,"2"
"biomineralization","Biomineralization",11,"4 3"
"bionanoelectronics","Bionanoelectronics",22,"3"
"biooceanography","Biooceanography",97,"2"
"biophotonics","Biophotonics",44,"3"
"biophysical-chemistry","Biophysical chemistry",120,"2 3"
"biophysical-methods","Biophysical methods",156,"2"
"biophysical-models","Biophysical models",8,"3"
"biophysics","Biophysics",883,"1"
"biopolymers","Biopolymers",9,"3"
"biopolymers-in-vivo","Biopolymers in vivo",7,"2"
"bioremediation","Bioremediation",6,"3"
"biosensors","Biosensors",85,"3"
"biostatistics","Biostatistics",5,"4 3"
"biosurfaces","Biosurfaces",8,"3"
"biosynthesis","Biosynthesis",86,"2 3"
"biotechnology","Biotechnology",5199,"1"
"biotic","Biotic",16,"3"
"bipolar-disorder","Bipolar disorder",17,"3"
"birdsong","Birdsong",3,"3"
"bisphosphonates","Bisphosphonates",114,"3"
"bisphosphonates-in-dentistry","Bisphosphonates in dentistry",0,"4"
"bladder","Bladder",9,"2 3"
"bladder-cancer","Bladder cancer",102,"4 3"
"bladder-disease","Bladder disease",6,"3"
"blood-flow","Blood flow",10,"3"
"blood-proteins","Blood proteins",5,"4 3"
"blood-urea-nitrogen","Blood urea nitrogen",0,"4"
"blood-brain-barrier","Blood–brain barrier",20,"2"
"blotting","Blotting",0,"3"
"body-mass-index","Body mass index",2,"3"
"body-patterning","Body patterning",15,"3"
"bonded-restorations","Bonded restorations",0,"4"
"bone","Bone",182,"2 3"
"bone-cancer","Bone cancer",36,"2 3"
"bone-development","Bone development",82,"2"
"bone-imaging","Bone imaging",12,"3"
"bone-marrow","Bone marrow",1,"3"
"bone-marrow-cells","Bone marrow cells",0,"4 3"
"bone-marrow-transplantation","Bone marrow transplantation",20,"2"
"bone-metastases","Bone metastases",96,"4 3"
"bone-quality-and-biomechanics","Bone quality and biomechanics",66,"2"
"bone-remodelling","Bone remodelling",188,"2"
"boreal-ecology","Boreal ecology",5,"2"
"bose-einstein-condensates","Bose–Einstein condensates",30,"3"
"bowel-cancer","Bowel cancer",6,"4 3"
"brain","Brain",38,"4 3"
"brain-imaging","Brain imaging",32,"3"
"brain-injuries","Brain injuries",39,"3"
"brainstem","Brainstem",0,"3"
"brain-machine-interface","Brain–machine interface",9,"3"
"brassinosteroid","Brassinosteroid",1,"3"
"breast-cancer","Breast cancer",260,"2 3"
"bruxism","Bruxism",0,"4"
"burning-mouth-syndrome","Burning mouth syndrome",0,"4"
"business","Business",464,"2"
